trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.6, 'e': 0.2993803913123313}",25,15,7.983324755034588,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.6, 'e': 0.296386587399208}",20,8,-13.882315999157774,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
122,False,"{'a': 0.6, 'e': 0.2934227215252159}",25,12,-27.40634573118034,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
123,False,"{'a': 0.6, 'e': 0.29048849430996376}",20,12,-28.16358603530046,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
124,False,"{'a': 0.6, 'e': 0.2875836093668641}",30,18,-10.441508647144554,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
125,False,"{'a': 0.6, 'e': 0.28470777327319546}",25,16,17.58146791214579,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.6, 'e': 0.2818606955404635}",20,15,8.751993931886748,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.6, 'e': 0.27904208858505886}",20,8,-13.811527354924838,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
128,False,"{'a': 0.6, 'e': 0.2762516676992083}",30,14,-4.732332794423646,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
129,False,"{'a': 0.6, 'e': 0.2734891510222162}",30,19,-45.07845351542128,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
130,False,"{'a': 0.6, 'e': 0.27075425951199406}",20,10,-24.755156294915245,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.6, 'e': 0.2680467169168741}",25,14,-18.76524607235857,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 0.6, 'e': 0.26536624974770534}",30,19,-2.3199437238105105,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.6, 'e': 0.2627125872502283}",35,25,18.701639310388604,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.6, 'e': 0.26008546137772603}",25,14,-44.27199667234465,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
135,False,"{'a': 0.6, 'e': 0.25748460676394874}",25,20,7.674343241854084,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.6, 'e': 0.2549097606963093}",20,8,-9.806458235122056,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
